,Achillea_lanulosa,Acomastylis_rossii,Agoseris_aurantiaca,Allium_geyeri,Angelica_grayi,Antennaria_alpina,Arenaria_fendleri,Artemesia_pattersonii,Artemesia_scopulorum,Bistorta_bistortoides,Bistorta_vivipara,Calmagrostis_canadensis,Caltha_leptosepala,Campanula_uniflora,Carex_foenea,Carex_nova,Carex_rupestris,Carex_scopulorum,Castilleja_occidentalis,Cerastium_arvense,Chionophila_jamesii,Cryptantha_cana,Danthonia_intermedia,Deschampsia_caespitosa,Draba_streptocarpa,Elymus_scriberneri,Erigeron_peregrinus,Erigeron_pinnatisectus,Erigeron_simplex,Eritrichium_aretioides,Erysimum_capitatum,Festuca_brachyphylla,Gentianoides_algida,Hieracium_gracile,Hymenoyxs_grandiflora,Juncus_drummondii,Kobresia_myosuroides,Lewisia_pygmaea,Lloydia_serotina,Luzula_spicata,Mertensia_lanceolata,Minuartia_obtusiloba,Oreoxis_alpina,Paronychia_pulvinata,Pedicularis_parryi,Penstemon_whippleanus,Phleum_pratense,Phlox_sibirica,Poa_alpina,Poa_epilis,Poa_glauca,Potentilla_concinna,Potentilla_diversifolia,Pseudocymopterus_montanus,Ranunculus_adoneus,Salix_arctica,Saxifraga_rhomboidea,Sedum_lanceolatum,Senicio_crocatus,Sibbaldia_procumbens,Silene_acaulis,Solidago_spathulata,Taraxacum_officinale,Tetraneuris_acaulis,Thlaspi_montanum,Tonestus_pygmaeus,Trifolium_dasyphyllum,Trifolium_parryi,Trisetum_spicatum,Vaccinium_cespitosum,Viola_biflora
88,0,3.488372093,0,0,0,0,1.162790698,0,8.139534884,1.162790698,0,0,0,1.162790698,0,2.325581395,3.488372093,0,0,0,0,0,40.69767442,0,0,0,0,0,5.813953488,0,0,0,0,0,0,1.162790698,0,1.162790698,0,0.581395349,0,2.325581395,0,0,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0,0,0,16.27906977,0,2.325581395,0,0,0,0,0,6.976744186,0.581395349,0,0
89,0,2.352941176,0,0,0,0,0,0,8.235294118,3.529411765,0,0,0,3.529411765,0,0,0,0,0,0,0,0,51.76470588,0,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0.588235294,0,0.588235294,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0.588235294,0,0,0,0,0,0,4.705882353,0,4.705882353,0,0,0,0,0,12.94117647,0,0,0
91,5.102040816,8.163265306,0,0,0,0,0,0,0.510204082,1.020408163,0,0,3.06122449,2.040816327,0,3.06122449,0,1.020408163,0,0.510204082,0,0,0,55.10204082,0,0,0,0,0.510204082,0,0,0,0,0,0,0,0,0,1.020408163,0,0.510204082,0,0,0,0,0,0,0,0,14.28571429,0,0,4.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,7.216494845,1.030927835,0,0,0,0,0,0,0,3.092783505,0,0,7.216494845,0,0,0.515463918,0,0.515463918,0,0.515463918,0,0,0,64.94845361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.278350515,0,0,0,0,0,0,0,0,2.06185567,0,0,3.092783505,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0
93,6.965174129,2.985074627,0,0,0,0,0,0,0,1.990049751,0,0,0.995024876,0,0,3.980099502,0,0.497512438,0,0.497512438,0,0,0,58.70646766,0,0,0.497512438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.90547264,0,0,2.985074627,0,0,0,0,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0
94,5,0,0,0,1,0,0,0,1,1,0,0,13,0,0,3,0,7,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
95,5.940594059,1.98019802,0,0,0,0,0,0,0,0.99009901,0,0,1.98019802,0,0,5.940594059,0,0,0,0.495049505,0,0,0,64.35643564,0,0,0.99009901,0,0,0,0,0,1.98019802,0,0,0,0,0,0,0,5.940594059,0,0,0,0,0,0.495049505,0,0,0.99009901,0,0,4.95049505,0,0,0,0,0,0,0,0,0,2.97029703,0,0,0,0,0,0,0,0
96,7.035175879,0,0.502512563,0,1.005025126,0,0,0,0,0,0,0,17.08542714,0,0,0,0,33.16582915,0,0,0,0,0,21.10552764,0,0,4.020100503,0,0,0,0,0,4.020100503,0,0,0,0,0,0,0,0.502512563,0,0,0,0,1.005025126,5.025125628,0,0,0,0,0,0.502512563,3.015075377,0,0,0,0,0,0,0,0,2.010050251,0,0,0,0,0,0,0,0
97,6.030150754,0,0,0,1.005025126,0,0,0,0,1.005025126,0,0,6.030150754,0,0,0.502512563,0,0.502512563,0,0,0,0,0,29.14572864,0,0,8.040201005,0,0,0,0,0,7.035175879,0,0,0,0,0,0,0,0.502512563,0,0,0,0,1.005025126,2.010050251,0,0,0,0,0,2.010050251,28.14070352,0,0,0,0,6.030150754,0,0,0,0,0,0,0,0,0,1.005025126,0,0
98,2.010050251,0,0,0,0.502512563,0,0,0,0,2.010050251,0,0,4.020100503,0,0,0,0,9.045226131,0,0,0,0,0,5.025125628,0,0,11.05527638,0,0.502512563,0,0,0,3.015075377,0,0,0,0,0,0,0,0,0,0,0,0,0,5.025125628,0,0,0,0,0,8.040201005,43.2160804,0,0,0,0,5.025125628,0,0,0,0.502512563,0,0,0,0,0,1.005025126,0,0
99,7.82122905,0,0,0,0,0,0,0,0,1.117318436,0,0,0,0,0,0,1.117318436,1.117318436,0,0,0,0,0,13.40782123,0,0,12.29050279,0,0,0,0,0,2.234636872,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117318436,0,0,0,0,0,2.234636872,48.04469274,0,0,0,0,0.558659218,0,0,0,0,0,0,0,0,0,4.469273743,0,0
